Timestamp,Class Year,Gender,Are u an international student?,"On a scale from 1-5, how would you describe your personality?",Current Major ( Primary Major) ,Division,How many times have you changed your major after arriving at Swarthmore college?,"On a scale from 1-5, how much do your family or their expectations affect your major choice?","On a scale from 1-5, to what extent has the consideration of your career or job search influenced your major choice?"
11/13/2023 19:53:00,2025,Female,No,2,Soci/Anth,SS,1,1,2
11/13/2023 19:56:20,2027,Female,No,1,Economics ,SS,1,4,5
11/13/2023 19:56:51,2025,Male,No,2,Math,NSE,0,4,4
11/13/2023 20:01:08,2026,Female,No,3,Undecided ,UD,0,3,3
11/13/2023 23:58:22,2024,Female,Yes,3,Medical Anthropology,SS,0,1,5
11/14/2023 19:18:29,2026,Female,Yes,3,English and poli sci biiitch,HU,3,3,3
11/14/2023 19:42:27,2025,Male,No,3,Biochemistry,NSE,0,1,5
11/14/2023 20:01:56,2026,Male,No,4,Computer Science,NSE,0,2,2
11/14/2023 20:05:27,2025,Male,No,1,Chemistry,NSE,2,2,5
11/14/2023 20:09:48,2026,Female,No,2,Chemistry,NSE,0,4,4
11/14/2023 20:10:55,2025,Male,No,1,Stat/CS,NSE,1,2,1
11/14/2023 20:12:17,2026,Female,No,3,Psychology,SS,0,2,2
11/14/2023 20:21:33,2026,Male,Yes,3,History ,HU,2,2,3
11/14/2023 20:27:15,2026,Female,Yes,2,Environmental Studies and Sociology & Anthropology ,NSE,0,1,1
11/14/2023 20:32:30,2026,Male,Yes,2,Stats ,NSE,3,3,5
11/14/2023 20:55:52,2026,Male,No,2,Engineering,NSE,0,2,4
11/14/2023 20:55:58,2026,Male,No,2,Economics,SS,2,1,4
11/14/2023 20:56:09,2024,Male,No,2,Political Science,SS,1,5,2
11/14/2023 20:56:59,2026,Male,No,1,Music,HU,2,3,3
11/14/2023 20:57:52,2024,Male,No,3,English and Psychology,HU,2,2,4
11/14/2023 20:59:40,2026,Female,No,2,Economics,SS,0,2,3
11/14/2023 20:59:59,2025,Male,No,3,Economics & History,SS,0,4,5
11/14/2023 21:00:53,2026,Male,Yes,4,Economics,SS,0,4,5
11/14/2023 21:03:45,2025,Male,No,3,Comp Sci,NSE,0,2,4
11/14/2023 21:05:08,2025,Male,No,4,Biochemistry ,NSE,1,4,5
11/14/2023 21:05:30,2024,Female,No,4,Engineering,NSE,0,5,5
11/14/2023 21:15:32,2027,Non-binary,Yes,2,Political Science,SS,0,2,3
11/14/2023 21:16:40,2026,Female ,No,4,Biochemistry ,NSE,0,4,5
11/14/2023 21:16:48,2026,Female,Yes,3,Biochemistry ,NSE,0,3,5
11/14/2023 21:17:35,2027,Female,Yes,2,Anthropology/Sociology,SS,0,2,2
11/14/2023 21:21:57,2027,Male,Yes,2,History ,SS,0,3,3
11/14/2023 21:32:16,2026,Female,No,2,Statistics/Math,NSE,2,3,5
11/14/2023 21:32:55,2026,Nonbinary ,Yes,1,History,SS,1,1,1
11/14/2023 21:53:31,2027,Female,No,4,Undecided,UD,0,4,4
11/14/2023 21:54:25,2027,Female,No,3,Econ (? maybe?),SS,5+,1,5
11/14/2023 21:58:25,2026,Female,Yes,3,Economics ,SS,4,5,5
